dept_name,dept,course_code,course_name,track_name,course_type,course_description,source_url,record_id,crawled_at
AI컴퓨팅학과,aic,CS10003,인공지능 기초,1000-level,Required,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0001,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS40700,인공지능 개론,2000-level,Required,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0002,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS30706,기계학습,2000-level,Required,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0003,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS20300,시스템프로그래밍,2000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0004,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS30704,인간-컴퓨터 상호작용 개론,2000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0005,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS30707,강화학습 개론,3000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0006,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS30101,전산기조직,3000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0007,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS30300,운영체제 및 실험,3000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0008,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS40701,그래프 기계학습 및 마이닝,4000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0009,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS40709,3차원 데이터를 위한 기계학습,4000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0010,2026-05-26T13:24:53.541543+00:00
AI컴퓨팅학과,aic,CS40806,웨어러블 사용자 인터페이스,4000-level,Elective,,https://aic.kaist.ac.kr/#/education-courses,aic_education_courses_교과목 안내_d550178826_d5501788__item_0011,2026-05-26T13:24:53.541543+00:00
